"Informazioni cronologiche","Qual è la tua età?","In che regione vivi?","In che zona abiti?","Con quale genere ti identifichi?","Da quanti componenti è formato il tuo nucleo familiare?","Qual è la tua professione?","Consumi prodotti ittici?","Per quale motivo non consumi prodotti ittici?","Quanto spesso consumi prodotti ittici?","Che tipo di prodotti ittici consumi più frequentemente in casa?","Quanto tempo dedichi mediamente alla preparazione dei pasti durante la giornata?","Solitamente ti occupi tu della spesa nella tua famiglia?","Dove acquisti più spesso i tuoi prodotti ittici? (Puoi selezionare più opzioni) ","Quanto saresti disposto a spendere per un prodotto ittico di alta qualità (es. burger di pesce gourmet)?","Quali di questi prodotti surgelati consumeresti? (Puoi selezionare più opzioni) ","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La freschezza del prodotto acquistato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La provenienza della materia prima]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La velocità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La semplicità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il bilancio nutrizionale del prodotto]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti nuovi/innovativi]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Che il prodotto sia al naturale/poco lavorato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il prezzo]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti monoporzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [La provenienza da fonti sostenibili degli ingredienti (es. pesca certificata)]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il basso impatto ambientale della produzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il packaging eco-sostenibile ]"
"2024/11/25 3:33:25 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Studente","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","A volte","Supermercato","5-8€","Prodotti gratinati;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante"
"2024/11/25 3:34:29 PM CET","46-60 anni","Puglia","Centro città","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","A volte","Negozi specializzati (es. pescherie);Mercati locali","Non lo comprerei","Condimenti per pasta o riso;Spiedini di gamberi o molluschi","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 3:37:48 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Studente","Si","","Una o due volte al mese","Pesce surgelato","Meno di 15 minuti","A volte","Supermercato","Non lo comprerei","Burger di pesce;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/25 3:37:57 PM CET","46-60 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Insalata di mare;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","2 - Poco importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 3:41:48 PM CET","18-25 anni","Lombardia","Centro città","Donna","1","Studente","Si","","Una volta ogni due mesi o meno","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Burger di pesce;Prodotti gratinati","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante"
"2024/11/25 3:42:48 PM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","A volte","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Spiedini di gamberi o molluschi","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 3:47:18 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","1","Studente","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 4:04:37 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","A volte","Supermercato","8-10€","Prodotti gratinati;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante"
"2024/11/25 4:10:26 PM CET","18-25 anni","Puglia","Centro città","Uomo","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","A volte","Supermercato","5-8€","Tartare pronte;Burger di pesce;Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","2 - Poco importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
"2024/11/25 4:15:55 PM CET","46-60 anni","Puglia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una o due volte al mese","Crostacei ","15-30 minuti","A volte","Supermercato","8-10€","Insalata di mare;Spiedini di gamberi o molluschi","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/25 4:17:05 PM CET","60-70 anni","Lombardia","Centro città","Donna","1","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Più di 10€","Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 4:22:19 PM CET","46-60 anni","Puglia","Centro città","Uomo","4+","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","Meno di 5€","Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale;","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","2 - Poco importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 4:22:31 PM CET","36-45 anni","Puglia","Periferia città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Più di 10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 4:30:42 PM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Studente","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","A volte","Supermercato","5-8€","Tartare pronte;Burger di pesce;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante"
"2024/11/25 4:33:34 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","5-8€","Tartare pronte;Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 4:35:26 PM CET","60-70 anni","Puglia","Periferia città","Donna","4+","Disoccupato","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 4:38:55 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","1","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 4:41:04 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 4:49:25 PM CET","18-25 anni","Puglia","Periferia città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","Meno di 15 minuti","Raramente/Mai","Negozi specializzati (es. pescherie)","8-10€","Prodotti gratinati","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 4:54:00 PM CET","46-60 anni","Puglia","Centro città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato;Mercati locali","8-10€","Condimenti per pasta o riso","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","2 - Poco importante"
"2024/11/25 4:54:21 PM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","No","Questione di gusti;Hanno un prezzo troppo alto","","","","","","","","","","","","","","","","","","",""
"2024/11/25 4:54:29 PM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Studente","No","Non so cosa sono i prodotti ittici","","","","","","","","","","","","","","","","","","",""
"2024/11/25 4:57:28 PM CET","18-25 anni","Friuli-Venezia Giulia","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Piatti pronti a base di pesce (es. burger, mix, tartare)","15-30 minuti","A volte","Negozi specializzati (es. pescherie)","Più di 10€","Burger di pesce;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 4:59:39 PM CET","26-35 anni","Lombardia","Centro città","Donna","4+","Lavoratore","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:02:13 PM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","Raramente/Mai","Supermercato;Mercati locali","5-8€","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 5:05:30 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Lavoratore","No","Non ci penso non ci faccio caso ","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:17:19 PM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","A volte","Supermercato;Mercati locali","8-10€","Tartare pronte;Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante"
"2024/11/25 5:21:29 PM CET","18-25 anni","Piemonte","Centro città","Uomo","2-3","Studente","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:24:09 PM CET","46-60 anni","Puglia","Periferia città","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Più di 10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 5:26:24 PM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","Meno di 15 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 5:27:05 PM CET","18-25 anni","Campania","Centro città","Donna","4+","Studente","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:28:22 PM CET","18-25 anni","Lazio","Periferia città","Donna","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","Meno di 5€","Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 5:34:31 PM CET","18-25 anni","Lombardia","Centro città","Donna","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 5:35:50 PM CET","26-35 anni","Lombardia","Centro città","Donna","4+","Lavoratore","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:36:05 PM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","No","Questione di gusti;Hanno un prezzo troppo alto","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:38:47 PM CET","18-25 anni","Sicilia","Periferia città","Donna","4+","Studente","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 5:40:18 PM CET","26-35 anni","Friuli-Venezia Giulia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","15-30 minuti","A volte","Supermercato","Più di 10€","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","5 - Molto importante","1 - Non mi interessa","4 - Abbastanza importante","2 - Poco importante","1 - Non mi interessa"
"2024/11/25 5:42:11 PM CET","18-25 anni","Lombardia","Centro città","Donna","2-3","Studente","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Tartare pronte;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 5:58:08 PM CET","26-35 anni","Lombardia","Centro città","Donna","4+","Disoccupato","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","2 - Poco importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 6:03:41 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Lavoratore","No","Sono vegetariano/vegano;Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 6:05:37 PM CET","18-25 anni","Emilia-Romagna","Centro città","Donna","2-3","Studente","Si","","Una volta a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","Meno di 15 minuti","A volte","Supermercato","8-10€","Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","3 - Mediamente importante","1 - Non mi interessa","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 6:07:48 PM CET","18-25 anni","Lombardia","Centro città","Donna","4+","Studente","Si","","Una volta ogni due mesi o meno","Pesce fresco","15-30 minuti","Raramente/Mai","Supermercato","Non lo comprerei","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/25 6:07:48 PM CET","18-25 anni","Friuli-Venezia Giulia","Centro città","Donna","2-3","Studente","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 6:12:22 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","2-3","Lavoratore","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie);Mercati locali;Online (e-commerce o delivery)","Più di 10€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso","5 - Molto importante","5 - Molto importante","2 - Poco importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","2 - Poco importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante"
"2024/11/25 6:12:38 PM CET","18-25 anni","Lombardia","Centro città","Donna","2-3","Studente","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Mercati locali","Più di 10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 6:17:55 PM CET","18-25 anni","Friuli-Venezia Giulia","Centro città","Donna","2-3","Studente","Si","","Una volta ogni due mesi o meno","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Prodotti gratinati","1 - Non mi interessa","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","1 - Non mi interessa","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/25 6:31:03 PM CET","18-25 anni","Puglia","Centro città","Uomo","2-3","Studente","Si","","Più volte a settimana","Pesce surgelato","Più di 60 minuti","Raramente/Mai","Negozi specializzati (es. pescherie)","Più di 10€","Burger di pesce;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 6:32:45 PM CET","18-25 anni","Lombardia","Centro città","Donna","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","Più di 60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante"
"2024/11/25 6:33:43 PM CET","26-35 anni","Lombardia","Centro città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","A volte","Supermercato","8-10€","Burger di pesce;Condimenti per pasta o riso;Spiedini di gamberi o molluschi","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante"
"2024/11/25 6:34:23 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","No","Sono allergica","","","","","","","","","","","","","","","","","","",""
"2024/11/25 6:59:56 PM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Disoccupato","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 7:24:06 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","A volte","Supermercato","5-8€","Tartare pronte;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante"
"2024/11/25 7:25:31 PM CET","18-25 anni","Piemonte","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Studente","No","Sono vegetariano/vegano","","","","","","","","","","","","","","","","","","",""
"2024/11/25 7:32:34 PM CET","26-35 anni","Lombardia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie)","8-10€","Burger di pesce;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 7:41:05 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Condimenti per pasta o riso;","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 7:41:29 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","A volte","Supermercato","Più di 10€","Insalata di mare","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante"
"2024/11/25 7:49:45 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","Non lo comprerei","Spiedini di gamberi o molluschi","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 7:55:41 PM CET","26-35 anni","Lombardia","Centro città","Donna","4+","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Raramente/Mai","Supermercato;Mercati locali","Più di 10€","Prodotti gratinati;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
